Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,54.124,55.905,53.671,53.53,53.413,53.319,53.25,53.205,53.184,53.187,53.214,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tunisia,TUN,57.946,63.432,67.218,67.495,67.772,68.056,68.346,68.642,68.945,69.254,69.568,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkey,TUR,59.203,64.741,71.974,72.531,73.077,73.611,74.134,74.644,75.143,75.63,76.105,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,45.075,45.913,49.175,49.541,49.921,50.317,50.728,51.153,51.593,52.048,52.516,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,74.343,84.55,91.09,91.483,91.851,92.195,92.517,92.817,93.098,93.36,93.605,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tuvalu,TUV,40.661,46.018,56.815,57.814,58.786,59.73,60.645,61.53,62.387,63.215,64.014,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uganda,UGA,11.076,14.786,20.424,20.958,21.504,22.06,22.624,23.196,23.774,24.361,24.954,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ukraine,UKR,66.757,67.145,68.782,68.875,68.968,69.061,69.154,69.246,69.352,69.473,69.608,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,79.051,80.236,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,78.14,78.651,81.837,82.102,82.365,82.626,82.886,83.143,83.398,83.652,83.903,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United States,USA,75.3,79.057,81.119,81.299,81.483,81.671,81.862,82.058,82.256,82.459,82.664,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uruguay,URY,88.973,92.028,94.739,94.843,94.945,95.045,95.144,95.24,95.334,95.426,95.515,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,41.365,46.126,51.05,50.95,50.85,50.75,50.65,50.55,50.478,50.433,50.416,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vanuatu,VUT,18.715,21.673,24.661,24.761,24.861,24.961,25.062,25.163,25.274,25.394,25.525,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,84.284,87.559,88.123,88.133,88.144,88.154,88.165,88.183,88.208,88.24,88.279,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vietnam,VNM,20.257,24.374,31.752,32.429,33.115,33.809,34.51,35.213,35.919,36.628,37.34,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Virgin Islands (U.S.),VIR,87.685,92.586,94.919,95.07,95.213,95.35,95.48,95.603,95.721,95.832,95.939,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,West Bank and Gaza,PSE,67.709,71.969,74.619,74.863,75.113,75.368,75.628,75.894,76.164,76.44,76.719,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Yemen, Rep.",YEM,20.931,26.267,32.958,33.559,34.165,34.777,35.394,36.016,36.642,37.273,37.908,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zambia,ZMB,39.407,34.802,40.354,40.865,41.382,41.907,42.438,42.976,43.521,44.072,44.629,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,28.988,33.758,32.834,32.654,32.504,32.385,32.296,32.237,32.209,32.21,32.242,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Africa Eastern and Southern,AFE,24.9192241869034,28.6692864525936,33.0716871573659,33.5075479703347,33.9524243585603,34.4050839061798,34.8651009391134,35.332372600656,35.8077701192774,36.2913220679034,36.7833061490919,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Africa Western and Central,AFW,31.0008341528857,35.3529813285238,42.9010354250733,43.5307043161389,44.1571309612333,44.7813730017585,45.4018091116082,46.0193335426773,46.6331382779992,47.2428528783001,47.8486254352506,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Arab World,ARB,50.395247579153,52.9893016869898,57.0983962735312,57.4007340495261,57.6923254732887,58.0314661463348,58.3456269803009,58.6423223529406,58.9265950528938,59.2016459579233,59.4717656085526,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,48.797215237079,50.2479966251559,50.5180015199416,50.5913942953527,50.6801049848727,50.7845671998424,50.906347090985,51.0446232585678,51.199349902547,51.3699794608823,51.5564381985332,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central Europe and the Baltics,CEB,61.3918489105076,61.4761873574983,62.0817769738868,62.0968137366794,62.1136451427738,62.1406724582082,62.1844843229932,62.2484547292635,62.3336666035846,62.4381364361765,62.5620844891198,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Early-demographic dividend,EAR,34.9383768778477,38.3340728132398,42.757945159258,43.1423801618747,43.530688294913,43.9286535245682,44.3265075864717,44.7258982471674,45.1301561610856,45.540805428283,45.9591827988488,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific,EAS,33.9562097530673,41.4207556589177,53.7708785156342,54.6593642570066,55.5481306033293,56.4350009048888,57.3190064459625,58.1946149413514,59.052630314984,59.8894562811046,60.6983177841653,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (excluding high income),EAP,28.1027438407395,36.5641158561051,49.6786454053537,50.6884335822371,51.6951778544144,52.6969176909118,53.6948046923102,54.6847642088178,55.6501340285747,56.5878255035103,57.4973051481106,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,27.7142625126016,36.2710640960853,49.5390637791183,50.5597303903738,51.577213852524,52.5895450836416,53.5977279132794,54.5976882538584,55.5724541000001,56.5189413667364,57.4366507643115,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Euro area,EMU,71.2200203395488,72.9421664058408,75.7236935103864,75.929121638797,76.1280994679572,76.3392616124018,76.5529692249178,76.7704471562476,76.9930860453837,77.2311806909576,77.4630030382948,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia,ECS,67.6060457267943,68.7416361650219,71.1216659432917,71.2937710800986,71.4655375451189,71.6445024139955,71.828684233409,72.0170141997581,72.2111752460248,72.4117567070096,72.6161864977777,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (excluding high income),ECA,63.0501565214873,63.8981499371569,65.9941659544618,66.1485957655546,66.3060334559936,66.4696682548856,66.6396213108126,66.8149007108655,66.995310744766,67.1796878170378,67.3673698985854,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,62.7557783295011,63.5970211266515,65.4343698381221,65.5690136758933,65.7069019011127,65.8513037407775,66.0035512148238,66.1631162995438,66.3291803683584,66.5008751289233,66.6780738987033,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,European Union,EUU,69.3689440805344,70.825711562657,73.356888238534,73.5394058330158,73.7178485782486,73.9081840731671,74.1050733249803,74.3075095447834,74.5166970796689,74.7373440701368,74.9590602406175,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fragile and conflict affected situations,FCS,31.9268726049165,34.8923543896843,39.354251941729,39.7428667624187,40.1305443211717,40.5502695414019,40.9583604887699,41.3602956327336,41.768238478671,42.1935520578771,42.6433256521919,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Heavily indebted poor countries (HIPC),HPC,25.4118902260097,28.7255224315372,33.3419343693167,33.7688480993053,34.2013003651206,34.6414690735518,35.0890624602318,35.5443469176559,36.0084011743596,36.4812809667456,36.9630236104351,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,High income,HIC,74.3113526212281,76.7139994006712,80.3416051797462,80.5097889574131,80.6770662380881,80.8496521303483,81.0242228525866,81.2018982268769,81.3817966050451,81.5715489152411,81.75984362543,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IBRD only,IBD,38.402522172404,43.5558314230863,51.2909618878061,51.9168670724511,52.5436254730156,53.1682052165346,53.7912736120884,54.4122801752232,55.0237865416004,55.6258748209592,56.2170659595336,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA & IBRD total,IBT,35.9211832758463,40.4515525205089,47.1875131311324,47.7295122667648,48.2719228946217,48.8173169673086,49.360958025172,49.9028922569261,50.4367365883677,50.9631097803069,51.4809462305393,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA blend,IDB,30.1858858591945,33.864374828424,39.4676311475505,39.9205352821637,40.3767421605375,40.8358347670133,41.2962516001156,41.7578028357805,42.228232593834,42.7071818889277,43.194213462972,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA only,IDX,23.2270535469519,26.4841154494615,31.5276427978713,31.9466458470711,32.3753834607134,32.8469874701743,33.3276178845916,33.8169334855983,34.3165851494979,34.8275511218707,35.3502351214044,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA total,IDA,25.5577890993755,28.9534601997814,34.1897977747204,34.6229761359488,35.0635294721407,35.5329816817417,36.0082325114557,36.4889962116814,36.9790439360913,37.4789800114661,37.988885258905,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Late-demographic dividend,LTE,38.7514369359067,45.6033493771015,57.1362570579581,58.0294393285867,58.9213680915922,59.8115421192271,60.6988725720759,61.5775968568189,62.4379756021007,63.2801793342416,64.1011144199081,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean,LCN,70.6882886843101,75.4782241099828,79.0995239618686,79.3674574469158,79.6300603684876,79.8869109812213,80.1374393288353,80.3828961648737,80.6249985474682,80.8705834263204,81.1198044058133,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean (excluding high income),LAC,69.3312117882851,74.3230069604934,78.2597690921182,78.5538835019349,78.8445964548255,79.1317768893774,79.4148222446978,79.6939737669984,79.9697942759895,80.2432925045046,80.5144457701328,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,70.4438822245592,75.3523871272298,79.072554865034,79.348424785963,79.6192160451009,79.8838585219983,80.1418610249729,80.3944862601425,80.6442326794344,80.8943487326243,81.1461034090423,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Least developed countries: UN classification,LDC,21.5099128029701,25.0250296272569,30.4793378908836,30.982529786939,31.4906159776734,32.0032979739267,32.5206395325389,33.0427425855198,33.5703706397339,34.1038780315126,34.6433834180362,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low & middle income,LMY,35.4777045601664,40.0555662700164,46.8762757685606,47.4255425303202,47.9760193974302,48.5305859245443,49.0844900102007,49.6373828311511,50.1820597380958,50.7180410174488,51.243666689576,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low income,LIC,24.4828101929559,27.2908366726336,30.5796161061966,30.8275841342753,31.0944454590203,31.4385367070626,31.8016033447914,32.1827512605869,32.5842249292872,33.0070672194324,33.4508610838983,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lower middle income,LMC,30.3864572049658,33.7053932473765,38.6762806638527,39.1250709235042,39.5796134834251,40.0410970236895,40.5074667658816,40.9799429645949,41.4601417025795,41.9479881410446,42.4431515697309,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa,MEA,54.9404438398467,58.5956739086839,63.340248808382,63.6742762941818,64.0000455246673,64.3709008546207,64.7196042662877,65.0527264346094,65.3722058478715,65.6787446510615,65.9734170185531,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (excluding high income),MNA,51.7674697294814,55.4468289053457,59.6374106288218,59.9401022516086,60.241577522413,60.6016311045816,60.9418871269557,61.2710150776023,61.5912462323821,61.903399869277,62.2098285066013,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,51.6268589248594,55.2721265048531,59.4625617336048,59.7648894153648,60.0659848388418,60.4263383720549,60.7666183992078,61.0959635981215,61.4152773389338,61.7263899498926,62.0317464319283,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle income,MIC,36.2846671123453,41.123554825468,48.5247170451149,49.1269404366472,49.7299369106485,50.3311768541366,50.9312481014838,51.5295845627496,52.1188413173107,52.6983014902267,53.2662753005998,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North America,NAC,75.433269385553,79.102424122048,81.1243012236089,81.2903741868684,81.459871950822,81.6330936928194,81.8087700069008,81.9896398054891,82.1730644577915,82.3616891229794,82.5535862150296,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,OECD members,OED,73.0387949531312,75.609939901292,79.4075483841253,79.6005169160655,79.7928486168573,79.989445595505,80.1882793803038,80.3901854487508,80.5946331725217,80.8064952038477,81.01985214841,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Other small states,OSS,45.4120888525101,49.820968024839,58.9123000992423,59.497379818464,60.0547701007099,60.595385597508,61.1179415692493,61.6244248601129,62.1181903537622,62.5972303513678,63.0522646969151,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,31.5111737391897,34.5439247527709,37.3348040662925,37.5467480324119,37.7607964638714,37.986049868753,38.2238780254713,38.4719570528898,38.7309150918652,38.9939896371331,39.2578875204729,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,74.0601506182769,76.4692789873574,80.2374128600722,80.4050422323738,80.5731667325845,80.7461431477187,80.9207790252293,81.0988643920299,81.2802715797612,81.4714079858403,81.6592453628761,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,28.3426854417139,32.0690511372989,37.9619946628962,38.5052126115133,39.0497448982805,39.5938909046426,40.1368250898924,40.6807801717709,41.2269010248399,41.7764538297004,42.3304784703917,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Small states,SST,45.2843520545608,48.8956120453372,55.9502008200991,56.4386202477449,56.9104114963435,57.3748906573575,57.8307513740486,58.2793380775549,58.7226144139355,59.1572733531044,59.5743091715665,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia,SAS,25.0648202269114,27.3813026943349,31.5607093837822,31.9444485923887,32.3368479308894,32.7375612918289,33.1463212306561,33.5641289593821,33.9923519914099,34.4318973424611,34.8822931298263,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,25.0648202269114,27.3813026943349,31.5607093837822,31.9444485923887,32.3368479308894,32.7375612918289,33.1463212306561,33.5641289593821,33.9923519914099,34.4318973424611,34.8822931298263,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,27.3640816652584,31.353649029344,37.0371932383099,37.5510568759617,38.0690575538266,38.5910737752434,39.1162540614806,39.644858862013,40.177085735276,40.7127786270592,41.2521423477946,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,27.3610925263299,31.3513221821924,37.0355493833466,37.5494365680263,38.0674639792152,38.5894961901823,39.1147062847299,39.6433422532013,40.1756037415302,40.7113315994252,41.2507300248977,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,27.3640816652584,31.353649029344,37.0371932383099,37.5510568759617,38.0690575538266,38.5910737752434,39.1162540614806,39.644858862013,40.177085735276,40.7127786270592,41.2521423477946,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,42.3629527877667,49.4383501074682,60.7961116560191,61.6724989073748,62.5469678214123,63.4152009738305,64.2776918291564,65.1283890425222,65.9622810474795,66.7754178019713,67.5673344226291,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,World,WLD,43.0287641092253,46.6893060467608,52.5547907601911,53.0057687353141,53.4590349721619,53.9164498473432,54.3736328745741,54.827803135378,55.2766178118443,55.7206532890273,56.1633675010657,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Afghanistan,AFG,..,..,0.285441075824333,0.239801324400345,0.209664812936706,0.884000919857522,0.516606367688591,0.274796599141582,0.661572001890286,0.124495943884077,0.0644763344628387,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Albania,ALB,0,4.10877595525929,7.45135722825396,9.81628764801144,8.6930387219853,8.69053621980377,8.80509197849022,7.85547051565549,7.94635135089316,7.7987221644757,7.18546156931001,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Algeria,DZA,0.000539761999822147,0.511221011496505,0.717693335672016,0.806601359342118,0.70258921252573,-0.324012083501784,1.02369638716223,0.7232598725207,0.838207480046885,0.804110686575591,0.776991758677732,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Angola,AGO,-2.98162799825608,9.6238239763664,-1.14376833410123,-5.20812271844135,2.51009500896225,8.63060523378897,-0.177522530030449,-6.05720920606598,-6.36987727292231,-4.58354677886438,-3.1973223089365,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Antigua and Barbuda,ATG,13.1907107216844,5.21750627465041,10.7810607557117,11.3664742578945,3.70183780934229,8.530357746702,6.78219276366958,10.3047628186758,12.7554180936599,7.57100155038054,5.36587126888871,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Argentina,ARG,1.2988816648031,3.66579059535379,2.80667189982932,1.77920553648531,0.962406650325519,1.97713461784426,0.584749931723909,1.78936428458758,2.232532212602,1.47434942911914,1.03241088135088,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Armenia,ARM,..,5.45043315573561,4.67672787765567,3.11193148125796,3.50211424719527,1.74473699241328,3.16450822069324,2.17684677683483,2.14180606651725,0.741199240149151,0.373252091327348,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Aruba,ABW,17.0617062782751,-6.8287271729666,-12.4156931893322,8.29852858504183,8.97999427498489,-0.971204144354778,0.923412225135472,5.25358836617616,4.2446335956983,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Australia,AUS,2.71668887853137,3.58369362909274,3.72131318042697,3.45519640739611,4.30681570751474,3.47216754349266,3.56095429419089,3.63246939512402,4.29284940490712,2.80909001665667,1.47901487954821,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Austria,AUT,0.392278455333375,4.30890039469704,1.27469393348713,0.104862185985209,0.3868581150541,-2.08805653898304,-7.31091695803744,3.23990497953368,-6.28465704339647,-2.94845938225549,-4.20412488106063,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Azerbaijan,AZE,..,2.46428917572752,7.59608356760687,3.53193139888625,5.88810891600482,7.62633633321074,11.8826533237788,7.01687943666137,2.97794611197123,3.12183056112494,1.19029666363855,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"Bahamas, The",BHS,-0.536955148452306,3.09850714482936,4.908082645399,3.64236845615841,2.25504517513394,0.639798872638891,3.25534109709321,2.46436056795337,3.82779517697477,2.00993779963956,3.62672419883926,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bahrain,BHR,2.16926559356137,4.01154558234919,5.02346532615333,11.4559732697771,4.54843083119189,0.208992859981636,0.754928694303382,1.46272268847081,0.294089711433264,3.88416451182348,2.89856404245918,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bangladesh,BGD,0.0102498456011247,0.525362089236089,1.1881028498084,1.73541854006515,1.46871287737332,1.45128764663678,1.0535522887012,0.724996642403865,0.883679502978234,0.630610126635897,0.353866533927194,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Barbados,BRB,0.557283807402607,2.40879045285177,11.4543528092711,2.22556021294586,16.047854276893,14.6028832091009,11.54635577101,4.14136927882684,4.74975916445493,4.13457724323287,5.9325486645541,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Belarus,BLR,..,0.932726194574,2.22820691918271,2.97386461822441,2.36252922122526,2.92676959277302,2.6128050216432,2.33213850448518,2.3762618776861,1.9768777744873,2.30939373903106,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Belgium,BEL,3.91889227088431,37.4753122979087,2.38036960149686,-5.68061237430674,-2.84014749508757,-4.22079695282361,12.0862954763612,-7.41675753843458,-7.65753615991978,-5.61855163327765,-3.3669177085366,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Belize,BLZ,4.17388152125633,3.55313433543757,12.7520997318139,5.84064035045559,8.46242807745053,3.43376835995794,1.82939340586375,1.71273108523014,6.36993895949505,4.73691618915791,4.65707436255279,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Benin,BEN,-0.15076002499864,-0.363490771082028,2.52705758501562,2.87863733132194,3.05420944291852,1.31501182569599,1.1148812817685,1.58170508811357,1.36073583540309,1.51620777524853,1.12361920739932,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bermuda,BMU,..,1.92229282122763,0.746514450097399,0.849151218045338,-0.0534057831746824,-2.15032691390736,-1.06108315938513,-4.03383539732899,1.32076448207162,0.0586552674979654,6.96388974746811,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bhutan,BTN,0.556215706339094,..,1.36871553221374,1.16350351902556,1.23407504172749,0.32196843698084,0.550454644081003,-0.67556304625888,0.108279483744831,0.513136316616896,-0.120364340864985,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bolivia,BOL,0.55879893824674,8.76825043369255,3.91355014600337,5.70662212001456,1.98982485657943,1.68072787964281,0.988080149283549,1.89949328113362,0.750524780940684,-0.529735011404666,-3.05165235028788,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bosnia and Herzegovina,BIH,..,2.62376448546688,2.27613126759199,1.724021678818,2.93556604970336,2.3618612224915,1.85167809259009,2.81778258123987,2.98246076424119,2.16675657727624,2.05720129775485,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Botswana,BWA,2.52969969216508,0.987700169396242,1.01588395547621,0.450529647174621,3.29093348337211,2.7878417968973,0.9449485206392,1.61964222140531,1.69061675690844,0.564111762365876,0.531557356878372,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Brazil,BRA,0.253118795948323,5.0339171410898,3.7549621084026,3.04150922944808,3.57135261311195,3.59214973105335,4.13737853873766,3.33826028428024,4.07748708411665,3.68375319892769,2.61545071194291,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Brunei Darussalam,BRN,0.198832471399467,9.15836044592086,4.54067743723085,4.28677622365794,3.35650199102938,1.32470174845995,-1.32052233784439,3.85820831655778,3.80474135275375,2.77114148390794,4.71056540621842,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bulgaria,BGR,0.0193872740170872,7.56089691165576,3.2929682601939,3.56394027272256,1.91583999206372,4.37436521561917,2.75870709167437,3.39072421691432,2.72719509208229,3.22315401161401,3.86602550921443,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Burkina Faso,BFA,0.0148324865312598,0.778458229480274,2.62145971019019,3.64766755416689,2.56255139217139,1.95992716360769,3.04380342193081,0.0182370326419022,1.68919955715947,1.00734644615815,0.828365044790219,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Burundi,BDI,0.110894210226116,1.3421519927659,0.0259254082933086,4.761214324173,3.0212026986125,1.59847145864393,0.00202796337554414,0.0115157447772025,0.0368652311931706,0.039710618611766,0.213143761190481,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Cabo Verde,CPV,0.0823097217941222,6.34282422287077,7.3492504239475,4.82566277478015,9.70965857140807,6.0164989704187,7.59543635129916,6.31739095949086,5.73076133865228,5.21125321691475,4.35025354983466,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Cambodia,KHM,..,3.23775422594546,14.1457254083206,13.5833460915532,11.096894824334,10.0986635313823,12.3692214343885,12.5718497255874,13.0744980659541,13.5220210875004,14.0443510692262,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Cameroon,CMR,-0.916249145215846,1.51144478184477,1.74884034593511,1.62296798387908,1.99484315606235,2.15564021776575,1.96334938487708,2.25620956446468,1.91398182081519,2.58319634858929,1.65468961886857,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Canada,CAN,1.41459671918718,9.17102428671511,2.70016900895674,3.62980398357006,3.55390337011002,3.85389453706153,2.23835012140903,1.53752071953934,2.46931207254863,2.78685844027932,1.61408526175543,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Cayman Islands,CYM,..,..,500.787892225588,792.291278204714,1008.99472615662,1709.76567771274,54.6743109678929,48.5141352641655,3.14423902409054,16.5929546798049,422.436323425668,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Central African Republic,CAF,0.0484378805639259,0.0972197495044956,2.79010447267091,0.109532615721406,0.183395774396434,0.176904972311768,0.397590036109046,0.332412579197305,0.81061260088137,1.15304563912863,1.45991240670026,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Chad,TCD,0.540663174372892,8.29469669047145,4.68808917173835,4.0158978331864,-4.84582995872845,5.11070298908964,2.42312826077001,3.63367274593873,4.10075324631691,5.00787790273205,5.14995427136463,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Chile,CHL,1.99674530406883,6.24191816511604,11.7430218470897,7.97833727864938,9.04194896062191,8.55986314684867,4.92278266615595,2.2119328498615,2.60765642227731,4.50510433594716,3.37154809053013,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,China,CHN,0.966308310992784,3.4750822457556,2.82709055579985,3.03987546926686,2.55923344660606,2.19218160303955,1.55564214957618,1.34913267883946,1.69390529382545,1.31071878144875,1.44318135726924,..
